payroll_id,employee_id,pay_period_end,hours_worked,overtime_hours,gross_pay,overtime_pay,bonus,benefits_deduction,taxes,net_pay,anomaly_flag,anomaly_type
P000095,E0008,2025-12-15,54.7,0.0,1828.69,0.0,0,75,329.16,1424.53,True,Duplicate Bonus
P000096,E0008,2025-12-31,50.92,0.0,1702.3,0.0,0,75,306.41,1320.88,False,None
P000097,E0009,2025-07-15,74.06,13.0,1698.28,447.13,0,75,373.62,1249.66,True,Unusual Overtime
P000098,E0009,2025-07-31,69.56,0.0,1595.07,0.0,0,75,350.92,1169.16,False,None
P000099,E0009,2025-08-15,91.24,11.24,2092.05,386.47,0,75,460.25,1943.27,False,None
P000100,E0009,2025-08-31,67.16,0.0,1539.88,0.0,0,75,338.77,1126.11,False,None
P000101,E0009,2025-09-15,84.03,4.03,1926.82,138.63,0,75,423.9,1566.55,False,None
P000102,E0009,2025-09-30,62.77,0.0,1439.29,0.0,0,75,316.64,1047.65,False,None
P000103,E0009,2025-10-15,85.66,5.66,1964.13,194.6,0,75,432.11,1651.62,False,None
P000104,E0009,2025-10-31,87.76,24.76,2012.39,851.7,0,75,442.73,1761.65,True,Unusual Overtime
P000105,E0009,2025-11-15,88.76,8.76,2035.23,301.24,0,75,447.75,1813.72,False,None
P000106,E0009,2025-11-30,78.71,0.0,1804.83,0.0,0,75,397.06,1332.77,False,None
P000107,E0009,2025-12-15,92.67,12.67,2124.97,435.85,0,75,467.49,2018.33,True,Duplicate Bonus
P000108,E0009,2025-12-31,98.46,18.46,2257.74,635.01,250,75,496.7,2571.05,False,None
P000109,E0010,2025-07-15,77.43,0.0,3780.76,0.0,0,150,680.54,2950.22,False,None
P000110,E0010,2025-07-31,76.39,0.0,3730.22,0.0,0,150,671.44,2908.78,False,None
P000111,E0010,2025-08-15,81.19,1.19,3964.67,87.41,0,150,713.64,3188.45,False,None
P000112,E0010,2025-08-31,76.18,0.0,3719.8,0.0,0,150,669.56,2900.24,False,None
P000113,E0010,2025-09-15,75.01,0.0,3662.69,0.0,0,150,659.28,2853.41,False,None
P000114,E0010,2025-09-30,75.71,0.0,3696.73,0.0,0,150,665.41,2881.32,False,None
P000115,E0010,2025-10-15,93.73,13.73,4576.64,1005.36,0,150,823.8,4608.21,False,None
P000116,E0010,2025-10-31,86.18,22.18,4207.93,1624.21,0,150,757.43,3752.79,True,Unusual Overtime
P000117,E0010,2025-11-15,76.15,0.0,3718.52,0.0,0,150,669.33,2899.19,False,None
P000118,E0010,2025-11-30,60.36,0.0,2947.33,0.0,0,150,530.52,2266.81,False,None
P000119,E0010,2025-12-15,67.64,0.0,3303.07,0.0,0,150,594.55,2558.52,False,None
P000120,E0010,2025-12-31,84.03,4.03,4103.06,294.99,0,150,738.55,3509.5,False,None
P000121,E0011,2025-07-15,63.03,0.0,1842.93,0.0,0,275,331.73,1236.2,False,None
P000122,E0011,2025-07-31,82.34,2.34,2407.74,102.81,0,275,433.39,1802.15,False,None
P000123,E0011,2025-08-15,71.48,0.0,2089.94,0.0,0,275,376.19,1438.75,False,None
P000124,E0011,2025-08-31,80.73,0.73,2360.68,32.21,0,275,424.92,1692.97,False,None
P000125,E0011,2025-09-15,80.51,0.51,2354.14,22.41,0,275,423.74,1677.8,False,None
P000126,E0011,2025-09-30,80.96,0.96,2367.41,42.31,0,275,426.13,1708.59,False,None
P000127,E0011,2025-10-15,76.84,0.0,2246.94,0.0,0,275,404.45,1567.49,False,None
P000128,E0011,2025-10-31,76.58,0.0,2239.25,0.0,0,275,403.06,1561.18,False,None
P000129,E0011,2025-11-15,74.23,14.0,2170.59,614.04,500,275,390.71,2004.89,True,Unusual Overtime
P000130,E0011,2025-11-30,83.87,3.87,2452.39,169.79,0,275,441.43,1905.75,False,None
P000131,E0011,2025-12-15,86.44,6.44,2527.55,282.53,0,275,454.96,2080.12,False,None
P000132,E0011,2025-12-31,70.25,0.0,2054.06,0.0,0,275,369.73,1409.33,False,None
P000133,E0012,2025-07-15,49.59,0.0,1865.46,0.0,0,275,410.4,1180.06,False,None
P000134,E0012,2025-07-31,51.57,0.0,1940.16,0.0,0,275,426.84,1238.33,False,None
P000135,E0012,2025-08-15,51.47,0.0,1936.31,0.0,250,275,425.99,1485.32,False,None
P000136,E0012,2025-08-31,51.33,0.0,1931.19,0.0,0,275,424.86,1231.33,False,None
P000137,E0012,2025-09-15,46.78,0.0,1760.0,0.0,0,275,387.2,1097.8,False,None
P000138,E0012,2025-09-30,52.23,0.0,1964.98,0.0,250,275,432.29,1507.68,False,None
P000139,E0012,2025-10-15,54.94,0.0,2067.0,0.0,0,275,454.74,1337.26,False,None
P000140,E0012,2025-10-31,51.13,0.0,1923.45,0.0,0,-275,423.16,1225.29,True,Negative Deduction
P000141,E0012,2025-11-15,54.05,0.0,2033.27,0.0,0,275,447.32,1310.95,False,None
P000142,E0012,2025-11-30,57.92,0.0,2179.06,0.0,0,275,479.39,1424.66,False,None
P000143,E0012,2025-12-15,35.19,0.0,1323.94,0.0,0,275,291.27,757.67,False,None
P000144,E0012,2025-12-31,57.55,0.0,2164.94,0.0,500,275,476.29,1913.66,False,None
P000145,E0013,2025-07-15,82.74,2.74,4026.1,199.95,0,275,1087.05,2864.0,False,None
P000146,E0013,2025-07-31,71.11,0.0,3460.07,0.0,0,275,934.22,2250.85,False,None
P000147,E0013,2025-08-15,86.42,6.42,4205.19,468.58,0,275,1135.4,3263.36,False,None
P000148,E0013,2025-08-31,76.81,0.0,3737.74,0.0,0,275,1009.19,2453.55,False,None
P000149,E0013,2025-09-15,77.9,0.0,3790.82,0.0,250,275,1023.52,2742.3,False,None
P000150,E0013,2025-09-30,75.94,0.0,3695.17,0.0,0,275,997.7,2422.47,False,None
P000151,E0013,2025-10-15,82.42,2.42,4010.52,176.58,0,275,1082.84,2829.25,False,None
P000152,E0013,2025-10-31,73.72,0.0,3587.08,0.0,0,275,968.51,2343.57,False,None
P000153,E0013,2025-11-15,87.21,7.21,4243.73,526.39,0,-275,1145.81,3349.31,True,Negative Deduction
P000154,E0013,2025-11-30,78.89,0.0,3838.74,0.0,0,275,1036.46,2527.28,False,None
P000155,E0013,2025-12-15,77.09,0.0,3751.02,0.0,0,275,1012.78,2463.25,False,None
P000156,E0013,2025-12-31,86.02,6.02,4185.88,439.62,0,275,1130.19,3220.31,False,None
P000157,E0014,2025-07-15,77.44,0.0,2148.28,0.0,0,75,580.04,1493.25,False,None
P000158,E0014,2025-07-31,87.59,7.59,2429.62,315.63,0,75,656.0,2014.25,False,None
P000159,E0014,2025-08-15,87.84,7.84,2436.59,326.09,0,75,657.88,2029.8,False,None
P000160,E0014,2025-08-31,69.32,0.0,1922.98,0.0,500,75,519.2,1828.78,False,None
P000161,E0014,2025-09-15,88.87,8.87,2465.37,369.25,0,75,665.65,2093.97,False,None
P000162,E0014,2025-09-30,68.3,0.0,1894.74,0.0,0,75,511.58,1308.16,False,None
P000163,E0014,2025-10-15,89.37,9.37,2479.2,390.0,0,75,669.38,2124.81,False,None
P000164,E0014,2025-10-31,96.23,16.23,2669.33,675.2,0,75,720.72,2548.81,False,None
P000165,E0014,2025-11-15,87.0,7.0,2413.34,291.21,0,75,651.6,1977.96,True,Duplicate Bonus
P000166,E0014,2025-11-30,62.74,0.0,1740.52,0.0,500,75,469.94,1695.58,False,None
P000167,E0014,2025-12-15,88.51,8.51,2455.23,354.04,0,75,662.91,2071.36,False,None
P000168,E0014,2025-12-31,97.97,17.97,2717.66,747.69,0,75,733.77,2656.58,False,None
P000169,E0015,2025-07-15,77.58,0.0,2930.04,0.0,0,150,527.41,2252.63,False,None
P000170,E0015,2025-07-31,79.72,0.0,3011.11,0.0,0,150,542.0,2319.11,False,None
P000171,E0015,2025-08-15,70.49,0.0,2662.49,0.0,0,150,479.25,2033.24,False,None
P000172,E0015,2025-08-31,82.5,2.5,3115.9,141.45,0,150,560.86,2546.48,False,None
P000173,E0015,2025-09-15,90.15,10.15,3405.09,575.24,500,150,612.92,3717.42,False,None
P000174,E0015,2025-09-30,85.58,5.58,3232.43,316.24,500,150,581.84,3316.83,False,None
P000175,E0015,2025-10-15,105.14,25.14,3970.98,1424.07,0,150,714.78,4530.27,False,None
P000176,E0015,2025-10-31,80.26,0.26,3031.58,14.97,0,150,545.68,2350.86,False,None
P000177,E0015,2025-11-15,66.95,0.0,2528.88,0.0,0,150,455.2,1923.68,False,None
P000178,E0015,2025-11-30,81.37,1.37,3073.26,77.49,0,150,553.19,2447.56,False,None
P000179,E0015,2025-12-15,60.67,0.0,2291.44,0.0,0,150,412.46,1728.98,False,None
P000180,E0015,2025-12-31,75.74,0.0,2860.52,0.0,0,150,514.89,2195.62,False,None
P000181,E0016,2025-07-15,93.0,13.0,3280.87,687.7,0,150,885.83,2932.73,True,Duplicate Bonus
P000182,E0016,2025-07-31,82.6,2.6,2914.17,137.65,0,150,786.82,2114.99,False,None
P000183,E0016,2025-08-15,81.44,1.44,2873.04,75.96,0,150,775.72,2023.28,False,None
P000184,E0016,2025-08-31,94.57,14.57,3336.3,770.85,0,150,900.8,3056.34,False,None
P000185,E0016,2025-09-15,77.84,13.0,2746.03,687.96,0,150,741.43,1854.6,True,Unusual Overtime
P000186,E0016,2025-09-30,90.09,10.09,3178.54,534.2,0,150,858.2,2704.54,False,None
P000187,E0016,2025-10-15,81.03,1.03,2858.9,54.74,0,150,771.9,1991.74,False,None
P000188,E0016,2025-10-31,83.04,3.04,2929.66,160.9,0,150,791.01,2149.55,False,None
P000189,E0016,2025-11-15,70.26,0.0,2478.83,0.0,0,150,669.28,1659.54,False,None
P000190,E0016,2025-11-30,76.14,0.0,2686.35,0.0,0,150,725.31,1811.03,False,None
P000191,E0016,2025-12-15,68.82,0.0,2427.96,0.0,0,150,655.55,1622.41,False,None
P000192,E0016,2025-12-31,79.24,0.0,2795.52,0.0,500,150,754.79,2390.73,False,None
P000193,E0017,2025-07-15,83.12,3.12,2499.52,140.87,1000,75,549.89,3015.49,False,None
P000194,E0017,2025-07-31,71.12,0.0,2138.57,0.0,0,75,470.49,1593.08,False,None
P000195,E0017,2025-08-15,96.39,16.39,2898.55,739.43,0,75,637.68,2925.3,False,None
P000196,E0017,2025-08-31,82.22,2.22,2472.5,100.35,250,75,543.95,2203.9,False,None
P000197,E0017,2025-09-15,80.46,0.46,2419.5,20.85,0,75,532.29,1833.07,False,None
P000198,E0017,2025-09-30,86.16,6.16,2590.75,277.72,250,75,569.96,2473.51,False,None
P000199,E0017,2025-10-15,73.37,0.0,2206.19,0.0,0,75,485.36,1645.83,False,None
P000200,E0017,2025-10-31,81.31,1.31,2444.93,58.99,0,75,537.88,1891.03,False,None
P000201,E0017,2025-11-15,74.27,0.0,2233.15,0.0,250,75,491.29,1916.86,False,None
P000202,E0017,2025-11-30,92.47,12.47,2780.56,562.43,0,75,611.72,2656.27,False,None
P000203,E0017,2025-12-15,71.53,0.0,2150.93,0.0,500,75,473.21,2102.73,False,None
P000204,E0017,2025-12-31,80.51,0.51,2420.8,22.79,250,75,532.57,2086.01,False,None
P000205,E0018,2025-07-15,82.63,2.63,2533.57,121.16,0,150,684.07,1820.67,False,None
P000206,E0018,2025-07-31,83.16,3.16,2549.64,145.26,0,150,688.4,1856.5,False,None
P000207,E0018,2025-08-15,75.35,0.0,2310.23,0.0,0,150,623.76,1536.47,False,None
P000208,E0018,2025-08-31,72.84,22.0,2233.15,1011.78,500,150,602.95,1980.2,True,Unusual Overtime
P000209,E0018,2025-09-15,75.47,0.0,2313.78,0.0,0,150,624.72,1539.06,False,None
P000210,E0018,2025-09-30,84.23,4.23,2582.39,194.38,0,150,697.24,1929.52,False,None
P000211,E0018,2025-10-15,78.85,0.0,2417.52,0.0,0,150,652.73,1614.79,False,None
P000212,E0018,2025-10-31,86.37,6.37,2648.09,292.94,0,150,714.99,2076.05,False,None
P000213,E0018,2025-11-15,83.82,3.82,2569.8,175.5,0,150,693.85,1901.45,False,None
P000214,E0018,2025-11-30,61.78,0.0,1894.32,0.0,0,150,511.47,1232.85,False,None
P000215,E0018,2025-12-15,81.98,1.98,2513.51,91.06,0,150,678.65,1775.92,False,None
P000216,E0018,2025-12-31,98.0,18.0,3004.79,827.99,0,150,811.29,2871.49,False,None
P000217,E0019,2025-07-15,60.6,0.0,2811.94,0.0,2000,0,759.22,3052.72,True,Duplicate Bonus
P000218,E0019,2025-07-31,53.38,0.0,2476.65,0.0,0,0,668.7,1807.96,False,None
P000219,E0019,2025-08-15,41.52,0.0,1926.75,0.0,0,0,520.22,1406.53,False,None
P000220,E0019,2025-08-31,53.82,0.0,2497.27,0.0,0,0,674.26,1823.01,False,None
P000221,E0019,2025-09-15,55.92,0.0,2594.6,0.0,0,0,700.54,1894.05,False,None
P000222,E0019,2025-09-30,47.97,0.0,2225.81,0.0,0,0,600.97,1624.84,False,None
P000223,E0019,2025-10-15,52.53,0.0,2437.57,0.0,0,0,658.15,1779.43,False,None
P000224,E0019,2025-10-31,62.08,0.0,2880.39,0.0,1000,0,777.7,3102.68,False,None
P000225,E0019,2025-11-15,43.14,0.0,2001.78,0.0,0,0,540.48,1461.3,False,None
P000226,E0019,2025-11-30,41.53,0.0,1927.16,0.0,0,0,520.33,1406.83,False,None
P000227,E0019,2025-12-15,55.54,0.0,2577.13,0.0,0,0,695.83,1881.3,False,None
P000228,E0019,2025-12-31,53.66,0.0,2489.84,0.0,0,0,672.26,1817.58,False,None
P000229,E0020,2025-07-15,58.23,0.0,1907.64,0.0,0,275,495.99,1136.65,False,None
P000230,E0020,2025-07-31,54.56,0.0,1787.33,0.0,0,275,464.71,1047.63,False,None
P000231,E0020,2025-08-15,45.46,0.0,1489.2,0.0,0,275,387.19,827.01,False,None
P000232,E0020,2025-08-31,53.46,0.0,1751.27,0.0,0,275,455.33,1020.94,True,Duplicate Bonus
P000233,E0020,2025-09-15,40.86,16.0,1338.67,786.24,0,275,348.05,715.62,True,Unusual Overtime
P000234,E0020,2025-09-30,48.0,0.0,1572.4,0.0,0,275,408.82,888.57,False,None
P000235,E0020,2025-10-15,54.02,0.0,1769.77,0.0,0,275,460.14,1034.63,False,None
P000236,E0020,2025-10-31,47.12,0.0,1543.52,0.0,0,275,401.31,867.2,False,None
P000237,E0020,2025-11-15,69.74,0.0,2284.83,0.0,0,275,594.06,1415.77,False,None
P000238,E0020,2025-11-30,34.86,0.0,1142.1,0.0,250,275,296.95,820.15,False,None
P000239,E0020,2025-12-15,45.62,0.0,1494.51,0.0,0,275,388.57,830.94,False,None
P000240,E0020,2025-12-31,42.5,0.0,1392.23,0.0,0,275,361.98,755.25,False,None
P000241,E0021,2025-07-15,74.4,19.0,3534.61,1354.04,0,275,636.23,2623.38,True,Unusual Overtime
P000242,E0021,2025-07-31,74.86,0.0,3556.41,0.0,0,275,640.15,2641.26,False,None
P000243,E0021,2025-08-15,69.39,0.0,3296.65,0.0,0,275,593.4,2428.26,False,None
P000244,E0021,2025-08-31,86.02,6.02,4086.89,429.13,0,275,735.64,3505.38,False,None
P000245,E0021,2025-09-15,75.62,0.0,3592.86,0.0,250,275,646.71,2921.15,False,None
P000246,E0021,2025-09-30,81.31,1.31,3862.97,93.26,0,275,695.33,2985.89,False,None
P000247,E0021,2025-10-15,76.52,0.0,3635.53,0.0,0,275,654.4,2706.14,False,None
P000248,E0021,2025-10-31,74.47,0.0,3538.21,0.0,0,275,636.88,2626.33,False,None
P000249,E0021,2025-11-15,93.38,13.38,4436.4,953.4,250,275,798.55,4566.25,False,None
P000250,E0021,2025-11-30,87.38,7.38,4151.59,526.18,0,275,747.29,3655.48,False,None
P000251,E0021,2025-12-15,65.05,0.0,3090.73,0.0,0,275,556.33,2259.4,False,None
P000252,E0021,2025-12-31,64.21,0.0,3050.47,0.0,0,275,549.08,2226.39,False,None
P000253,E0022,2025-07-15,88.34,8.34,2300.4,325.79,0,275,414.07,1937.12,False,None
P000254,E0022,2025-07-31,75.84,0.0,1974.9,0.0,0,275,355.48,1344.42,False,None
P000255,E0022,2025-08-15,66.81,0.0,1739.66,0.0,0,275,313.14,1151.52,False,None
P000256,E0022,2025-08-31,88.37,8.37,2301.05,326.77,0,275,414.19,1938.63,False,None
P000257,E0022,2025-09-15,81.35,1.35,2118.43,52.85,0,275,381.32,1514.96,False,None
P000258,E0022,2025-09-30,82.01,2.01,2135.61,78.61,0,275,384.41,1554.81,False,None
P000259,E0022,2025-10-15,86.48,6.48,2251.84,252.96,0,275,405.33,1824.48,False,None
P000260,E0022,2025-10-31,69.52,0.0,1810.31,0.0,0,275,325.86,1209.45,False,None
P000261,E0022,2025-11-15,66.95,0.0,1743.33,0.0,0,275,313.8,1154.53,False,None
P000262,E0022,2025-11-30,92.65,12.65,2412.54,494.02,0,275,434.26,2197.3,False,None
P000263,E0022,2025-12-15,68.5,0.0,1783.81,0.0,250,275,321.09,1437.72,False,None
P000264,E0022,2025-12-31,70.22,0.0,1828.58,0.0,0,275,329.15,1224.44,False,None
P000265,E0023,2025-07-15,41.82,0.0,1881.92,0.0,0,0,338.75,1543.18,False,None
P000266,E0023,2025-07-31,66.64,0.0,2998.78,0.0,0,0,539.78,2459.0,False,None
P000267,E0023,2025-08-15,53.95,0.0,2427.62,0.0,0,0,436.97,1990.65,False,None
P000268,E0023,2025-08-31,57.72,0.0,2597.55,0.0,0,0,467.56,2129.99,False,None
P000269,E0023,2025-09-15,51.57,0.0,2320.62,0.0,0,0,417.71,1902.91,False,None
P000270,E0023,2025-09-30,45.18,0.0,2033.32,0.0,0,0,366.0,1667.32,False,None
P000271,E0023,2025-10-15,55.05,0.0,2477.26,0.0,0,0,445.91,2031.36,False,None
P000272,E0023,2025-10-31,37.55,0.0,1689.62,0.0,0,0,304.13,1385.49,False,None
P000273,E0023,2025-11-15,41.24,0.0,1855.7,0.0,0,0,334.03,1521.67,False,None
P000274,E0023,2025-11-30,55.86,0.0,2513.87,0.0,0,0,452.5,2061.37,False,None
P000275,E0023,2025-12-15,39.14,0.0,1761.39,0.0,0,0,317.05,1444.34,False,None
P000276,E0023,2025-12-31,48.49,0.0,2181.93,0.0,500,0,392.75,2289.18,False,None
P000277,E0024,2025-07-15,48.85,0.0,1322.42,0.0,0,-150,290.93,881.49,True,Negative Deduction
P000278,E0024,2025-07-31,45.77,0.0,1239.01,0.0,0,150,272.58,816.43,False,None
