payroll_id,employee_id,pay_period_end,hours_worked,overtime_hours,gross_pay,overtime_pay,bonus,benefits_deduction,taxes,net_pay,anomaly_flag,anomaly_type,timesheet_status,approval_status,previous_net_pay,net_pay_change,risk_score,risk_level,issue_summary
P000036,E0003,2025-12-31,89.59,23.59,2473.51,976.88,0,75,445.23,2350.35,True,Unusual Overtime,Submitted,Pending,1498.73,851.6199999999999,7,High,"Unusual Overtime, Pending manager approval, Large change in net pay"
P000037,E0004,2025-07-15,76.08,0.0,5120.35,0.0,0,150,921.66,4048.68,False,None,Submitted,Not Required,,,0,Low,Normal
P000038,E0004,2025-07-31,104.75,24.75,7049.84,2498.75,0,150,1268.97,8129.62,False,None,Late,Approved,4048.68,4080.94,2,Medium,Large change in net pay
P000039,E0004,2025-08-15,78.6,0.0,5289.46,0.0,0,150,952.1,4187.35,False,None,Missing,Not Required,8129.62,-3942.2699999999995,4,High,"Missing timesheet, Large change in net pay"
P000040,E0004,2025-08-31,73.92,0.0,4975.02,0.0,0,150,895.5,3929.52,False,None,Submitted,Not Required,4187.35,-257.8300000000004,0,Low,Normal
P000041,E0004,2025-09-15,76.7,0.0,5162.01,0.0,0,150,929.16,4082.85,False,None,Submitted,Not Required,3929.52,153.32999999999993,0,Low,Normal
P000042,E0004,2025-09-30,68.7,0.0,4623.8,0.0,0,150,832.28,3641.52,False,None,Submitted,Not Required,4082.85,-441.3299999999999,0,Low,Normal
P000043,E0004,2025-10-15,83.86,3.86,5643.66,389.48,0,150,1015.86,4867.28,False,None,Submitted,Not Required,3641.52,1225.7599999999998,2,Medium,Large change in net pay
P000044,E0004,2025-10-31,76.64,0.0,5157.93,0.0,0,150,928.43,4079.5,True,Duplicate Bonus,Submitted,Not Required,4867.28,-787.7799999999997,5,High,"Duplicate Bonus, Large change in net pay"
P000045,E0004,2025-11-15,89.05,9.05,5993.07,913.6,0,150,1078.75,5677.91,False,None,Submitted,Approved,4079.5,1598.4099999999999,2,Medium,Large change in net pay
P000046,E0004,2025-11-30,77.8,23.0,5236.08,2321.85,0,150,942.49,4143.58,True,Unusual Overtime,Submitted,Pending,5677.91,-1534.33,7,High,"Unusual Overtime, Pending manager approval, Large change in net pay"
P000047,E0004,2025-12-15,91.08,11.08,6129.38,1118.08,0,150,1103.29,5994.17,False,None,Submitted,Pending,4143.58,1850.5900000000001,4,High,"Pending manager approval, Large change in net pay"
P000048,E0004,2025-12-31,86.06,6.06,5791.81,611.72,0,150,1042.53,5211.01,True,Duplicate Bonus,Submitted,Approved,5994.17,-783.1599999999999,5,High,"Duplicate Bonus, Large change in net pay"
P000049,E0005,2025-07-15,80.23,0.23,4529.72,19.37,250,150,996.54,3652.55,False,None,Submitted,Not Required,,,0,Low,Normal
P000050,E0005,2025-07-31,92.64,12.64,5230.56,1070.64,0,150,1150.72,5000.48,True,Duplicate Bonus,Submitted,Approved,3652.55,1347.9299999999994,5,High,"Duplicate Bonus, Large change in net pay"
P000051,E0005,2025-08-15,87.62,7.62,4946.93,645.2,0,150,1088.33,4353.8,False,None,Submitted,Pending,5000.48,-646.6799999999994,4,High,"Pending manager approval, Large change in net pay"
P000052,E0005,2025-08-31,103.57,23.57,5847.55,1996.12,250,150,1286.46,6657.2,False,None,Submitted,Approved,4353.8,2303.3999999999996,2,Medium,Large change in net pay
P000053,E0005,2025-09-15,76.72,0.0,4331.86,0.0,0,150,953.01,3228.85,False,None,Submitted,Not Required,6657.2,-3428.35,2,Medium,Large change in net pay
P000054,E0005,2025-09-30,80.61,0.61,4551.41,51.91,0,150,1001.31,3452.01,False,None,Submitted,Not Required,3228.85,223.1600000000003,0,Low,Normal
P000055,E0005,2025-10-15,92.55,12.55,5225.35,1062.83,0,150,1149.58,4988.61,False,None,Submitted,Pending,3452.01,1536.5999999999995,4,High,"Pending manager approval, Large change in net pay"
P000056,E0005,2025-10-31,67.65,0.0,3819.61,0.0,0,150,840.32,2829.3,False,None,Submitted,Not Required,4988.61,-2159.3099999999995,2,Medium,Large change in net pay
P000057,E0005,2025-11-15,90.54,10.54,5111.64,892.26,0,150,1124.56,4729.33,False,None,Submitted,Approved,2829.3,1900.0299999999997,2,Medium,Large change in net pay
P000058,E0005,2025-11-30,83.51,3.51,4715.22,297.64,0,150,1037.35,3825.51,False,None,Submitted,Not Required,4729.33,-903.8199999999997,2,Medium,Large change in net pay
P000059,E0005,2025-12-15,72.89,0.0,4115.61,0.0,0,150,905.43,3060.18,False,None,Submitted,Not Required,3825.51,-765.3300000000004,2,Medium,Large change in net pay
P000060,E0005,2025-12-31,69.1,0.0,3901.14,0.0,0,150,858.25,2892.89,False,None,Submitted,Not Required,3060.18,-167.28999999999996,0,Low,Normal
P000061,E0006,2025-07-15,74.62,0.0,1883.41,0.0,0,150,508.52,1224.89,False,None,Submitted,Not Required,,,0,Low,Normal
P000062,E0006,2025-07-31,61.72,0.0,1557.85,0.0,0,150,420.62,987.23,False,None,Missing,Not Required,1224.89,-237.66000000000008,2,Medium,Missing timesheet
P000063,E0006,2025-08-15,76.08,0.0,1920.35,0.0,0,150,518.5,1251.86,False,None,Submitted,Not Required,987.23,264.6299999999999,0,Low,Normal
P000064,E0006,2025-08-31,84.98,4.98,2144.91,188.56,0,150,579.12,1604.34,False,None,Submitted,Not Required,1251.86,352.48,0,Low,Normal
P000065,E0006,2025-09-15,76.19,0.0,1923.03,0.0,0,150,519.22,1253.81,False,None,Missing,Not Required,1604.34,-350.53,2,Medium,Missing timesheet
P000066,E0006,2025-09-30,91.11,11.11,2299.53,420.49,250,150,620.87,2199.15,False,None,Submitted,Approved,1253.81,945.3400000000001,2,Medium,Large change in net pay
P000067,E0006,2025-10-15,93.28,13.28,2354.38,502.76,0,150,635.68,2071.46,False,None,Submitted,Pending,2199.15,-127.69000000000005,2,Medium,Pending manager approval
P000068,E0006,2025-10-31,90.21,10.21,2276.78,386.37,0,150,614.73,1898.42,False,None,Submitted,Approved,2071.46,-173.03999999999996,0,Low,Normal
P000069,E0006,2025-11-15,81.85,1.85,2065.77,69.86,0,150,557.76,1427.87,False,None,Missing,Not Required,1898.42,-470.5500000000002,2,Medium,Missing timesheet
P000070,E0006,2025-11-30,61.4,0.0,1549.8,0.0,0,150,418.45,981.35,False,None,Submitted,Not Required,1427.87,-446.51999999999987,0,Low,Normal
P000071,E0006,2025-12-15,74.37,0.0,1877.11,0.0,0,150,506.82,1220.29,False,None,Submitted,Not Required,981.35,238.93999999999994,0,Low,Normal
P000072,E0006,2025-12-31,78.86,0.0,1990.52,0.0,0,150,537.44,1303.08,False,None,Submitted,Not Required,1220.29,82.78999999999996,0,Low,Normal
P000073,E0007,2025-07-15,72.85,0.0,1492.68,0.0,0,75,328.39,1089.29,False,None,Submitted,Not Required,,,0,Low,Normal
P000074,E0007,2025-07-31,78.88,0.0,1616.33,0.0,250,75,355.59,1435.74,False,None,Submitted,Not Required,1089.29,346.45000000000005,0,Low,Normal
P000075,E0007,2025-08-15,92.88,12.88,1903.12,395.88,0,75,418.69,1805.32,False,None,Submitted,Approved,1435.74,369.5799999999999,0,Low,Normal
P000076,E0007,2025-08-31,66.83,0.0,1369.42,0.0,0,75,301.27,993.15,False,None,Submitted,Not Required,1805.32,-812.17,2,Medium,Large change in net pay
P000077,E0007,2025-09-15,94.49,14.49,1936.17,445.46,0,75,425.96,1880.67,False,None,Submitted,Approved,993.15,887.5200000000001,2,Medium,Large change in net pay
P000078,E0007,2025-09-30,87.08,7.08,1784.22,217.54,0,75,392.53,1534.23,False,None,Submitted,Pending,1880.67,-346.44000000000005,2,Medium,Pending manager approval
P000079,E0007,2025-10-15,82.15,2.15,1683.17,65.95,0,75,370.3,1303.82,False,None,Submitted,Not Required,1534.23,-230.41000000000008,0,Low,Normal
P000080,E0007,2025-10-31,74.29,0.0,1522.22,0.0,0,75,334.89,1112.33,False,None,Submitted,Not Required,1303.82,-191.49,0,Low,Normal
P000081,E0007,2025-11-15,73.01,0.0,1495.94,0.0,0,75,329.11,1091.83,False,None,Submitted,Not Required,1112.33,-20.5,0,Low,Normal
P000082,E0007,2025-11-30,66.99,0.0,1372.63,0.0,0,75,301.98,995.65,False,None,Submitted,Not Required,1091.83,-96.17999999999995,0,Low,Normal
P000083,E0007,2025-12-15,93.73,13.73,1920.61,422.12,0,75,422.53,1845.2,False,None,Submitted,Approved,995.65,849.5500000000001,2,Medium,Large change in net pay
P000084,E0007,2025-12-31,92.3,12.3,1891.25,378.07,0,75,416.07,1778.24,False,None,Submitted,Pending,1845.2,-66.96000000000004,2,Medium,Pending manager approval
P000085,E0008,2025-07-15,38.75,0.0,1295.4,0.0,0,75,233.17,987.23,False,None,Submitted,Not Required,,,0,Low,Normal
P000086,E0008,2025-07-31,45.58,0.0,1523.71,0.0,0,75,274.27,1174.44,False,None,Submitted,Not Required,987.23,187.21000000000004,0,Low,Normal
P000087,E0008,2025-08-15,53.47,0.0,1787.34,0.0,0,75,321.72,1390.62,False,None,Submitted,Not Required,1174.44,216.17999999999984,0,Low,Normal
P000088,E0008,2025-08-31,47.6,0.0,1591.4,0.0,0,75,286.45,1229.95,False,None,Submitted,Not Required,1390.62,-160.66999999999985,0,Low,Normal
P000089,E0008,2025-09-15,34.65,0.0,1158.37,0.0,500,75,208.51,1374.86,False,None,Submitted,Not Required,1229.95,144.90999999999985,0,Low,Normal
P000090,E0008,2025-09-30,44.74,0.0,1495.59,0.0,0,75,269.21,1151.38,False,None,Missing,Not Required,1374.86,-223.4799999999998,2,Medium,Missing timesheet
P000091,E0008,2025-10-15,65.61,0.0,2193.28,0.0,0,75,394.79,1723.49,False,None,Late,Not Required,1151.38,572.1099999999999,2,Medium,Large change in net pay
P000092,E0008,2025-10-31,45.28,0.0,1513.72,0.0,250,75,272.47,1416.25,False,None,Submitted,Not Required,1723.49,-307.24,0,Low,Normal
P000093,E0008,2025-11-15,48.69,0.0,1627.78,0.0,250,75,293.0,1509.78,False,None,Submitted,Not Required,1416.25,93.52999999999997,0,Low,Normal
P000094,E0008,2025-11-30,40.84,0.0,1365.23,0.0,250,75,245.74,1294.49,False,None,Submitted,Not Required,1509.78,-215.28999999999996,0,Low,Normal
P000095,E0008,2025-12-15,54.7,0.0,1828.69,0.0,0,75,329.16,1424.53,True,Duplicate Bonus,Submitted,Not Required,1294.49,130.03999999999996,3,Medium,Duplicate Bonus
P000096,E0008,2025-12-31,50.92,0.0,1702.3,0.0,0,75,306.41,1320.88,False,None,Submitted,Not Required,1424.53,-103.64999999999986,0,Low,Normal
P000097,E0009,2025-07-15,74.06,13.0,1698.28,447.13,0,75,373.62,1249.66,True,Unusual Overtime,Late,Approved,,,3,Medium,Unusual Overtime
P000098,E0009,2025-07-31,69.56,0.0,1595.07,0.0,0,75,350.92,1169.16,False,None,Submitted,Not Required,1249.66,-80.5,0,Low,Normal
P000099,E0009,2025-08-15,91.24,11.24,2092.05,386.47,0,75,460.25,1943.27,False,None,Late,Approved,1169.16,774.1099999999999,2,Medium,Large change in net pay
P000100,E0009,2025-08-31,67.16,0.0,1539.88,0.0,0,75,338.77,1126.11,False,None,Submitted,Not Required,1943.27,-817.1600000000001,2,Medium,Large change in net pay
P000101,E0009,2025-09-15,84.03,4.03,1926.82,138.63,0,75,423.9,1566.55,False,None,Submitted,Not Required,1126.11,440.44000000000005,0,Low,Normal
P000102,E0009,2025-09-30,62.77,0.0,1439.29,0.0,0,75,316.64,1047.65,False,None,Submitted,Not Required,1566.55,-518.8999999999999,2,Medium,Large change in net pay
P000103,E0009,2025-10-15,85.66,5.66,1964.13,194.6,0,75,432.11,1651.62,False,None,Submitted,Approved,1047.65,603.9699999999998,2,Medium,Large change in net pay
P000104,E0009,2025-10-31,87.76,24.76,2012.39,851.7,0,75,442.73,1761.65,True,Unusual Overtime,Submitted,Pending,1651.62,110.0300000000002,5,High,"Unusual Overtime, Pending manager approval"
P000105,E0009,2025-11-15,88.76,8.76,2035.23,301.24,0,75,447.75,1813.72,False,None,Submitted,Approved,1761.65,52.069999999999936,0,Low,Normal
P000106,E0009,2025-11-30,78.71,0.0,1804.83,0.0,0,75,397.06,1332.77,False,None,Submitted,Not Required,1813.72,-480.95000000000005,0,Low,Normal
P000107,E0009,2025-12-15,92.67,12.67,2124.97,435.85,0,75,467.49,2018.33,True,Duplicate Bonus,Submitted,Approved,1332.77,685.56,5,High,"Duplicate Bonus, Large change in net pay"
P000108,E0009,2025-12-31,98.46,18.46,2257.74,635.01,250,75,496.7,2571.05,False,None,Submitted,Pending,2018.33,552.7200000000003,4,High,"Pending manager approval, Large change in net pay"
P000109,E0010,2025-07-15,77.43,0.0,3780.76,0.0,0,150,680.54,2950.22,False,None,Submitted,Not Required,,,0,Low,Normal
P000110,E0010,2025-07-31,76.39,0.0,3730.22,0.0,0,150,671.44,2908.78,False,None,Submitted,Not Required,2950.22,-41.4399999999996,0,Low,Normal
P000111,E0010,2025-08-15,81.19,1.19,3964.67,87.41,0,150,713.64,3188.45,False,None,Submitted,Not Required,2908.78,279.6699999999996,0,Low,Normal
P000112,E0010,2025-08-31,76.18,0.0,3719.8,0.0,0,150,669.56,2900.24,False,None,Late,Not Required,3188.45,-288.21000000000004,0,Low,Normal
P000113,E0010,2025-09-15,75.01,0.0,3662.69,0.0,0,150,659.28,2853.41,False,None,Submitted,Not Required,2900.24,-46.82999999999993,0,Low,Normal
P000114,E0010,2025-09-30,75.71,0.0,3696.73,0.0,0,150,665.41,2881.32,False,None,Submitted,Not Required,2853.41,27.91000000000031,0,Low,Normal
P000115,E0010,2025-10-15,93.73,13.73,4576.64,1005.36,0,150,823.8,4608.21,False,None,Submitted,Pending,2881.32,1726.8899999999999,4,High,"Pending manager approval, Large change in net pay"
P000116,E0010,2025-10-31,86.18,22.18,4207.93,1624.21,0,150,757.43,3752.79,True,Unusual Overtime,Submitted,Approved,4608.21,-855.4200000000001,5,High,"Unusual Overtime, Large change in net pay"
P000117,E0010,2025-11-15,76.15,0.0,3718.52,0.0,0,150,669.33,2899.19,False,None,Submitted,Not Required,3752.79,-853.5999999999999,2,Medium,Large change in net pay
P000118,E0010,2025-11-30,60.36,0.0,2947.33,0.0,0,150,530.52,2266.81,False,None,Submitted,Not Required,2899.19,-632.3800000000001,2,Medium,Large change in net pay
P000119,E0010,2025-12-15,67.64,0.0,3303.07,0.0,0,150,594.55,2558.52,False,None,Submitted,Not Required,2266.81,291.71000000000004,0,Low,Normal
P000120,E0010,2025-12-31,84.03,4.03,4103.06,294.99,0,150,738.55,3509.5,False,None,Submitted,Not Required,2558.52,950.98,2,Medium,Large change in net pay
P000121,E0011,2025-07-15,63.03,0.0,1842.93,0.0,0,275,331.73,1236.2,False,None,Submitted,Not Required,,,0,Low,Normal
P000122,E0011,2025-07-31,82.34,2.34,2407.74,102.81,0,275,433.39,1802.15,False,None,Missing,Not Required,1236.2,565.95,4,High,"Missing timesheet, Large change in net pay"
P000123,E0011,2025-08-15,71.48,0.0,2089.94,0.0,0,275,376.19,1438.75,False,None,Late,Not Required,1802.15,-363.4000000000001,0,Low,Normal
P000124,E0011,2025-08-31,80.73,0.73,2360.68,32.21,0,275,424.92,1692.97,False,None,Submitted,Not Required,1438.75,254.22000000000003,0,Low,Normal
P000125,E0011,2025-09-15,80.51,0.51,2354.14,22.41,0,275,423.74,1677.8,False,None,Submitted,Not Required,1692.97,-15.170000000000073,0,Low,Normal
P000126,E0011,2025-09-30,80.96,0.96,2367.41,42.31,0,275,426.13,1708.59,False,None,Submitted,Not Required,1677.8,30.789999999999964,0,Low,Normal
P000127,E0011,2025-10-15,76.84,0.0,2246.94,0.0,0,275,404.45,1567.49,False,None,Submitted,Not Required,1708.59,-141.0999999999999,0,Low,Normal
P000128,E0011,2025-10-31,76.58,0.0,2239.25,0.0,0,275,403.06,1561.18,False,None,Submitted,Not Required,1567.49,-6.309999999999945,0,Low,Normal
P000129,E0011,2025-11-15,74.23,14.0,2170.59,614.04,500,275,390.71,2004.89,True,Unusual Overtime,Submitted,Approved,1561.18,443.71000000000004,3,Medium,Unusual Overtime
P000130,E0011,2025-11-30,83.87,3.87,2452.39,169.79,0,275,441.43,1905.75,False,None,Late,Not Required,2004.89,-99.1400000000001,0,Low,Normal
P000131,E0011,2025-12-15,86.44,6.44,2527.55,282.53,0,275,454.96,2080.12,False,None,Missing,Approved,1905.75,174.3699999999999,2,Medium,Missing timesheet
P000132,E0011,2025-12-31,70.25,0.0,2054.06,0.0,0,275,369.73,1409.33,False,None,Submitted,Not Required,2080.12,-670.79,2,Medium,Large change in net pay
P000133,E0012,2025-07-15,49.59,0.0,1865.46,0.0,0,275,410.4,1180.06,False,None,Submitted,Not Required,,,0,Low,Normal
P000134,E0012,2025-07-31,51.57,0.0,1940.16,0.0,0,275,426.84,1238.33,False,None,Submitted,Not Required,1180.06,58.26999999999998,0,Low,Normal
P000135,E0012,2025-08-15,51.47,0.0,1936.31,0.0,250,275,425.99,1485.32,False,None,Submitted,Not Required,1238.33,246.99,0,Low,Normal
P000136,E0012,2025-08-31,51.33,0.0,1931.19,0.0,0,275,424.86,1231.33,False,None,Submitted,Not Required,1485.32,-253.99,0,Low,Normal
P000137,E0012,2025-09-15,46.78,0.0,1760.0,0.0,0,275,387.2,1097.8,False,None,Submitted,Not Required,1231.33,-133.52999999999997,0,Low,Normal
P000138,E0012,2025-09-30,52.23,0.0,1964.98,0.0,250,275,432.29,1507.68,False,None,Missing,Not Required,1097.8,409.8800000000001,2,Medium,Missing timesheet
P000139,E0012,2025-10-15,54.94,0.0,2067.0,0.0,0,275,454.74,1337.26,False,None,Submitted,Not Required,1507.68,-170.42000000000007,0,Low,Normal
P000140,E0012,2025-10-31,51.13,0.0,1923.45,0.0,0,-275,423.16,1225.29,True,Negative Deduction,Submitted,Not Required,1337.26,-111.97000000000003,3,Medium,Negative Deduction
P000141,E0012,2025-11-15,54.05,0.0,2033.27,0.0,0,275,447.32,1310.95,False,None,Submitted,Not Required,1225.29,85.66000000000008,0,Low,Normal
P000142,E0012,2025-11-30,57.92,0.0,2179.06,0.0,0,275,479.39,1424.66,False,None,Submitted,Not Required,1310.95,113.71000000000004,0,Low,Normal
P000143,E0012,2025-12-15,35.19,0.0,1323.94,0.0,0,275,291.27,757.67,False,None,Submitted,Not Required,1424.66,-666.9900000000001,2,Medium,Large change in net pay
P000144,E0012,2025-12-31,57.55,0.0,2164.94,0.0,500,275,476.29,1913.66,False,None,Submitted,Not Required,757.67,1155.9900000000002,2,Medium,Large change in net pay
P000145,E0013,2025-07-15,82.74,2.74,4026.1,199.95,0,275,1087.05,2864.0,False,None,Submitted,Not Required,,,0,Low,Normal
P000146,E0013,2025-07-31,71.11,0.0,3460.07,0.0,0,275,934.22,2250.85,False,None,Submitted,Not Required,2864.0,-613.1500000000001,2,Medium,Large change in net pay
P000147,E0013,2025-08-15,86.42,6.42,4205.19,468.58,0,275,1135.4,3263.36,False,None,Submitted,Approved,2250.85,1012.5100000000002,2,Medium,Large change in net pay
P000148,E0013,2025-08-31,76.81,0.0,3737.74,0.0,0,275,1009.19,2453.55,False,None,Missing,Not Required,3263.36,-809.81,4,High,"Missing timesheet, Large change in net pay"
P000149,E0013,2025-09-15,77.9,0.0,3790.82,0.0,250,275,1023.52,2742.3,False,None,Submitted,Not Required,2453.55,288.75,0,Low,Normal
P000150,E0013,2025-09-30,75.94,0.0,3695.17,0.0,0,275,997.7,2422.47,False,None,Submitted,Not Required,2742.3,-319.8300000000004,0,Low,Normal
P000151,E0013,2025-10-15,82.42,2.42,4010.52,176.58,0,275,1082.84,2829.25,False,None,Submitted,Not Required,2422.47,406.7800000000002,0,Low,Normal
P000152,E0013,2025-10-31,73.72,0.0,3587.08,0.0,0,275,968.51,2343.57,False,None,Submitted,Not Required,2829.25,-485.67999999999984,0,Low,Normal
P000153,E0013,2025-11-15,87.21,7.21,4243.73,526.39,0,-275,1145.81,3349.31,True,Negative Deduction,Submitted,Approved,2343.57,1005.7399999999998,5,High,"Negative Deduction, Large change in net pay"
P000154,E0013,2025-11-30,78.89,0.0,3838.74,0.0,0,275,1036.46,2527.28,False,None,Late,Not Required,3349.31,-822.0299999999997,2,Medium,Large change in net pay
P000155,E0013,2025-12-15,77.09,0.0,3751.02,0.0,0,275,1012.78,2463.25,False,None,Missing,Not Required,2527.28,-64.0300000000002,2,Medium,Missing timesheet
P000156,E0013,2025-12-31,86.02,6.02,4185.88,439.62,0,275,1130.19,3220.31,False,None,Submitted,Approved,2463.25,757.06,2,Medium,Large change in net pay
P000157,E0014,2025-07-15,77.44,0.0,2148.28,0.0,0,75,580.04,1493.25,False,None,Submitted,Not Required,,,0,Low,Normal
P000158,E0014,2025-07-31,87.59,7.59,2429.62,315.63,0,75,656.0,2014.25,False,None,Submitted,Pending,1493.25,521.0,4,High,"Pending manager approval, Large change in net pay"
P000159,E0014,2025-08-15,87.84,7.84,2436.59,326.09,0,75,657.88,2029.8,False,None,Submitted,Approved,2014.25,15.549999999999955,0,Low,Normal
P000160,E0014,2025-08-31,69.32,0.0,1922.98,0.0,500,75,519.2,1828.78,False,None,Submitted,Not Required,2029.8,-201.01999999999998,0,Low,Normal
P000161,E0014,2025-09-15,88.87,8.87,2465.37,369.25,0,75,665.65,2093.97,False,None,Submitted,Pending,1828.78,265.1899999999998,2,Medium,Pending manager approval
P000162,E0014,2025-09-30,68.3,0.0,1894.74,0.0,0,75,511.58,1308.16,False,None,Submitted,Not Required,2093.97,-785.8099999999997,2,Medium,Large change in net pay
P000163,E0014,2025-10-15,89.37,9.37,2479.2,390.0,0,75,669.38,2124.81,False,None,Submitted,Rejected,1308.16,816.6499999999999,2,Medium,Large change in net pay
